"x","y","Texture"
73.3624116666667,31.6541683333333,"Lo"
73.3707416666667,31.6541683333333,"Lo, SiLo"
73.3790716666667,31.6541683333333,"SiLo"
73.3874016666667,31.6541683333333,"SiLo"
73.3957316666667,31.6541683333333,"SiLo"
73.4040616666667,31.6541683333333,"SiLo"
73.3624116666667,31.6458383333333,"Lo"
73.3707416666667,31.6458383333333,"Lo, SiLo"
73.3790716666667,31.6458383333333,"SiLo"
73.3874016666667,31.6458383333333,"SiLo"
73.3957316666667,31.6458383333333,"SiLo"
73.4040616666667,31.6458383333333,"SiLo"
73.4123916666667,31.6458383333333,"SiLo"
73.4207216666667,31.6458383333333,"SiLo"
73.3624116666667,31.6375083333333,"Lo, SiLo"
73.3707416666667,31.6375083333333,"SiLo"
73.3790716666667,31.6375083333333,"SiLo"
73.3874016666667,31.6375083333333,"SiLo"
73.3957316666667,31.6375083333333,"SiLo"
73.4040616666667,31.6375083333333,"SiLo"
73.4123916666667,31.6375083333333,"SiLo"
73.4207216666667,31.6375083333333,"SiLo"
73.4290516666667,31.6375083333333,"SiLo"
73.4373816666667,31.6375083333333,"SiLo"
73.4457116666667,31.6375083333333,"SiLo"
73.3707416666667,31.6291783333333,"SiLo"
73.3790716666667,31.6291783333333,"SiLo"
73.3874016666667,31.6291783333333,"SiLo"
73.3957316666667,31.6291783333333,"SiLo"
73.4040616666667,31.6291783333333,"SiLo"
73.4123916666667,31.6291783333333,"SiLo"
73.4207216666667,31.6291783333333,"SiLo"
73.4290516666667,31.6291783333333,"SiLo"
73.4373816666667,31.6291783333333,"SiLo"
73.4457116666667,31.6291783333333,"SiLo"
73.4540416666667,31.6291783333333,"SiLo"
73.3707416666667,31.6208483333333,"SiLo"
73.3790716666667,31.6208483333333,"SiLo"
73.3874016666667,31.6208483333333,"SiLo"
73.3957316666667,31.6208483333333,"SiLo"
73.4040616666667,31.6208483333333,"SiLo"
73.4123916666667,31.6208483333333,"SiLo"
73.4207216666667,31.6208483333333,"SiLo"
73.4290516666667,31.6208483333333,"SiLo"
73.4373816666667,31.6208483333333,"SiLo"
73.4457116666667,31.6208483333333,"SiLo"
73.4540416666667,31.6208483333333,"SiLo"
73.3457516666667,31.6125183333333,"SiLo"
73.3540816666667,31.6125183333333,"SiLo"
73.3624116666667,31.6125183333333,"SiLo"
73.3707416666667,31.6125183333333,"SiLo"
73.3790716666667,31.6125183333333,"SiLo"
73.3874016666667,31.6125183333333,"SiLo"
73.3957316666667,31.6125183333333,"SiLo"
73.4040616666667,31.6125183333333,"SiLo"
73.4123916666667,31.6125183333333,"SiLo"
73.4207216666667,31.6125183333333,"SiLo"
73.4290516666667,31.6125183333333,"SiLo"
73.4373816666667,31.6125183333333,"SiLo"
73.4457116666667,31.6125183333333,"SiLo"
73.4540416666667,31.6125183333333,"SiLo"
73.3374216666667,31.6041883333333,"SiLo"
73.3457516666667,31.6041883333333,"SiLo"
73.3540816666667,31.6041883333333,"SiLo"
73.3624116666667,31.6041883333333,"SiLo"
73.3707416666667,31.6041883333333,"SiLo"
73.3790716666667,31.6041883333333,"SiLo"
73.3874016666667,31.6041883333333,"SiLo"
73.3957316666667,31.6041883333333,"SiLo"
73.4040616666667,31.6041883333333,"SiLo"
73.4123916666667,31.6041883333333,"SiLo"
73.4207216666667,31.6041883333333,"SiLo"
73.4290516666667,31.6041883333333,"SiLo"
73.4373816666667,31.6041883333333,"SiLo"
73.4457116666667,31.6041883333333,"SiLo"
73.4540416666667,31.6041883333333,"SiLo"
73.3290916666667,31.5958583333333,"SiLo"
73.3374216666667,31.5958583333333,"SiLo"
73.3457516666667,31.5958583333333,"SiLo"
73.3540816666667,31.5958583333333,"SiLo"
73.3624116666667,31.5958583333333,"SiLo"
73.3707416666667,31.5958583333333,"SiLo"
73.3790716666667,31.5958583333333,"SiLo"
73.3874016666667,31.5958583333333,"SiLo"
73.3957316666667,31.5958583333333,"SiLo"
73.4040616666667,31.5958583333333,"SiLo"
73.4123916666667,31.5958583333333,"SiLo"
73.4207216666667,31.5958583333333,"SiLo"
73.4290516666667,31.5958583333333,"SiLo"
73.4373816666667,31.5958583333333,"SiLo"
73.4457116666667,31.5958583333333,"SiLo"
73.4540416666667,31.5958583333333,"SiLo"
73.3124316666667,31.5875283333333,"SiLo"
73.3207616666667,31.5875283333333,"SiLo"
73.3290916666667,31.5875283333333,"SiLo"
73.3374216666667,31.5875283333333,"SiLo"
73.3457516666667,31.5875283333333,"SiLo"
73.3540816666667,31.5875283333333,"SiLo"
73.3624116666667,31.5875283333333,"SiLo"
73.3707416666667,31.5875283333333,"SiLo"
73.3790716666667,31.5875283333333,"SiLo"
73.3874016666667,31.5875283333333,"SiLo"
73.3957316666667,31.5875283333333,"SiLo"
73.4040616666667,31.5875283333333,"SiLo"
