"","lon","lat","x_utm","y_utm","SAND","SILT","CLAY","USDA_texture"
"1",73.3189789325645,31.0722627878453,912188.294210175,3445638.12992954,33.5381422950373,40.9521160827981,25.5097416221646,"Lo"
"2",73.3215921677058,31.0721750819578,912438.294210175,3445638.12992954,33.5467529830978,40.9263970075557,25.5268500093465,"Lo"
"3",73.324205391408,31.0720873233408,912688.294210175,3445638.12992954,33.552477711794,40.9004035575191,25.5471187306869,"Lo"
"4",73.3268186036643,31.0719995119948,912938.294210175,3445638.12992954,33.5553474451056,40.8742646534505,25.5703879014438,"Lo"
"5",73.3294318044678,31.0719116479209,913188.294210175,3445638.12992954,33.5554098649331,40.848122823352,25.5964673117149,"Lo"
"6",73.3320449938117,31.0718237311197,913438.294210175,3445638.12992954,33.5527291307057,40.8221261405755,25.6251447287188,"Lo"
"7",73.2903337896437,31.0754735085443,909438.294210175,3445888.12992954,33.2406258864748,41.2609905898696,25.4983835236556,"Lo"
"8",73.2929472113456,31.0753863750395,909688.294210175,3445888.12992954,33.2807150307592,41.2384392014089,25.480845767832,"Lo"
"9",73.2955606216824,31.0752991887915,909938.294210175,3445888.12992954,33.3186641573031,41.2157947012271,25.4655411414698,"Lo"
"10",73.2981740206473,31.0752119498011,910188.294210175,3445888.12992954,33.3542500840585,41.1929971683996,25.4527527475418,"Lo"
"11",73.3007874082334,31.075124658069,910438.294210175,3445888.12992954,33.3872807705407,41.1699647864909,25.4427544429685,"Lo"
"12",73.3164674944143,31.0745998001485,911938.294210175,3445888.12992954,33.5246864344775,41.022106503169,25.4532070623534,"Lo"
"13",73.3190808021579,31.074512139248,912188.294210175,3445888.12992954,33.5367967545109,40.9954983523582,25.4677048931309,"Lo"
"14",73.3216940984682,31.0744244256123,912438.294210175,3445888.12992954,33.5457622549095,40.9684431176039,25.4857946274867,"Lo"
"15",73.3243073833383,31.0743366592423,912688.294210175,3445888.12992954,33.5516015917614,40.941069979973,25.5073284282657,"Lo"
"16",73.3269206567612,31.0742488401388,912938.294210175,3445888.12992954,33.5543511109513,40.9135348203954,25.5321140686533,"Lo"
"17",73.3295339187303,31.0741609683026,913188.294210175,3445888.12992954,33.5540649250094,40.8860097352501,25.5599253397405,"Lo"
"18",73.3321471692387,31.0740730437346,913438.294210175,3445888.12992954,33.5508149368419,40.8586722499645,25.5905128131936,"Lo"
"19",73.3347604082795,31.0739850664355,913688.294210175,3445888.12992954,33.5446906327362,40.8316954161821,25.6236139510817,"Lo"
"20",73.3373736358459,31.0738970364063,913938.294210175,3445888.12992954,33.5357985339891,40.8052395964947,25.6589618695162,"Lo"
"21",73.2904349976635,31.0777229437889,909438.294210175,3446138.12992954,33.2195741122693,41.3164899869899,25.4639359007408,"Lo"
"22",73.2930484805534,31.0776358025866,909688.294210175,3446138.12992954,33.2630016381106,41.2927052880245,25.4442930738649,"Lo"
"23",73.2956619520771,31.0775486086364,909938.294210175,3446138.12992954,33.3040359849184,41.2689561710052,25.4270078440764,"Lo"
"24",73.2982754122278,31.0774613619392,910188.294210175,3446138.12992954,33.3424393934303,41.2451578340084,25.4124027725613,"Lo"
"25",73.3008888609986,31.0773740624957,910438.294210175,3446138.12992954,33.3780099689759,41.2211958364057,25.4007941946185,"Lo"
"26",73.3035022983828,31.0772867103068,910688.294210175,3446138.12992954,33.4105806589952,41.1969375505069,25.3924817904978,"Lo"
"27",73.3061157243734,31.0771993053732,910938.294210175,3446138.12992954,33.4400172696235,41.1722465700806,25.3877361602959,"Lo"
"28",73.3087291389637,31.0771118476958,911188.294210175,3446138.12992954,33.4662157377723,41.1469989586855,25.3867853035422,"Lo"
"29",73.3113425421468,31.0770243372754,911438.294210175,3446138.12992954,33.4890989959062,41.1210995688313,25.3898014352625,"Lo"
"30",73.3139559339159,31.0769367741128,911688.294210175,3446138.12992954,33.5086138485131,41.0944962342976,25.3968899171893,"Lo"
"31",73.3165693142642,31.0768491582089,911938.294210175,3446138.12992954,33.5247282813042,41.0671896561684,25.4080820625274,"Lo"
"32",73.3191826831848,31.0767614895643,912188.294210175,3446138.12992954,33.5374295255604,41.0392373788534,25.4233330955861,"Lo"
"33",73.3217960406708,31.07667376818,912438.294210175,3446138.12992954,33.5467230170791,41.0107512902417,25.4425256926792,"Lo"
"34",73.3244093867155,31.0765859940567,912688.294210175,3446138.12992954,33.5526321746884,40.9818892846709,25.4654785406406,"Lo"
"35",73.3270227213121,31.0764981671953,912938.294210175,3446138.12992954,33.5551987445498,40.9528427261482,25.491958529302,"Lo"
"36",73.3296360444536,31.0764102875966,913188.294210175,3446138.12992954,33.5544833638456,40.9238218646327,25.5216947715217,"Lo"
"37",73.3322493561332,31.0763223552614,913438.294210175,3446138.12992954,33.5505660039367,40.8950413196523,25.554392676411,"Lo"
"38",73.3348626563442,31.0762343701905,913688.294210175,3446138.12992954,33.5435460354308,40.8667072819991,25.5897466825701,"Lo"
"39",73.3374759450797,31.0761463323847,913938.294210175,3446138.12992954,33.5335417744566,40.839007424678,25.6274508008654,"Lo"
"40",73.3400892223328,31.0760582418448,914188.294210175,3446138.12992954,33.5206894820053,40.8121038736375,25.6672066443572,"Lo"
"41",73.3427024880968,31.0759700985717,914438.294210175,3446138.12992954,33.505141872619,40.7861291001528,25.7087290272281,"Lo"
"42",73.2879226615974,31.0800594740979,909188.294210175,3446388.12992954,33.1501933585785,41.3974464093649,25.4523602320565,"Lo"
"43",73.2905362170426,31.079972377951,909438.294210175,3446388.12992954,33.199601502095,41.3721177432898,25.4282807546152,"Lo"
