"lon","lat","USDA_texture_Krig","USDA_texture_IDW"
73.1433378775127,31.1861798973995,"Lo","Lo"
73.143436051155,31.1884297211411,"Lo","Lo"
73.1435342358104,31.1906795438171,"Lo","Lo"
73.1459548329062,31.1860954748862,"Lo","Lo"
73.1460530681221,31.1883452911838,"Lo","Lo"
73.1461513143581,31.1905951064154,"Lo","Lo"
73.1462495716151,31.1928449205809,"Lo","Lo"
73.148473491518,31.1837611894496,"Lo","Lo"
73.1485717772808,31.1860109993648,"Lo","Lo"
73.1486700740693,31.1882608082137,"Lo","Lo"
73.1487683818847,31.1905106159963,"Lo","Lo"
73.148866700728,31.1927604227124,"Lo","Lo"
73.1489650306003,31.195010228362,"Lo","Lo"
73.1510903633022,31.1836766683739,"Lo","Lo"
73.1511887106296,31.1859264708361,"Lo","Lo"
73.1512870689896,31.1881762722316,"Lo","Lo"
73.1513854383834,31.1904260725605,"Lo","Lo"
73.1514838188119,31.1926758718226,"Lo","Lo"
73.1515822102764,31.1949256700178,"Lo","Lo"
73.1516806127778,31.1971754671462,"Lo","Lo"
73.1537072240548,31.1835920942962,"Lo","Lo"
73.1538056329457,31.1858418893008,"Lo","Lo"
73.1539040528762,31.1880916832383,"Lo","Lo"
73.1540024838472,31.1903414761088,"Lo","Lo"
73.15410092586,31.1925912679122,"Lo","Lo"
73.1541993789155,31.1948410586484,"Lo","Lo"
73.1542978430148,31.1970908483174,"Lo","Lo"
73.1543963181591,31.1993406369191,"Lo","Lo"
73.1544948043493,31.2015904244533,"Lo","Lo"
73.1562256143609,31.181257678608,"Lo","Lo"
73.156324073769,31.1835074672175,"Lo","Lo"
73.1564225442224,31.1857572547597,"Lo","Lo"
73.1565210257222,31.1880070412346,"Lo","Lo"
73.1566195182694,31.1902568266421,"Lo","Lo"
73.1567180218652,31.1925066109822,"Lo","Lo"
73.1568165365107,31.1947563942547,"Lo","Lo"
73.1569150622069,31.1970061764596,"Lo","Lo"
73.1570135989549,31.1992559575968,"Lo","Lo"
73.1571121467557,31.2015057376664,"Lo","Lo"
73.1572107056106,31.2037555166681,"Lo","Lo"
73.1573092755204,31.2060052946019,"Lo","Lo"
73.1574078564864,31.2082550714678,"Lo","Lo"
73.1575064485097,31.2105048472656,"Lo","Lo"
73.1576050515912,31.2127546219954,"Lo","Lo"
73.1577036657321,31.215004395657,"Lo","Lo"
73.1578022909335,31.2172541682504,"Lo","Lo"
73.1588423914753,31.1811730059956,"Lo","Lo"
73.1589409124379,31.1834227871384,"Lo","Lo"
73.1590394444527,31.1856725672137,"Lo","Lo"
73.1591379875207,31.1879223462213,"Lo","Lo"
73.1592365416431,31.1901721241611,"Lo","Lo"
73.1593351068209,31.1924219010331,"Lo","Lo"
73.1594336830552,31.1946716768373,"Lo","Lo"
73.1595322703471,31.1969214515735,"Lo","Lo"
73.1596308686978,31.1991712252417,"Lo","Lo"
73.1597294781081,31.2014209978418,"Lo","Lo"
73.1598280985794,31.2036707693738,"Lo","Lo"
73.1599267301125,31.2059205398375,"Lo","Lo"
73.1600253727087,31.208170309233,"Lo","Lo"
73.160124026369,31.21042007756,"Lo","Lo"
73.1602226910944,31.2126698448187,"Lo","Lo"
73.1603213668861,31.2149196110088,"Lo","Lo"
73.1604200537452,31.2171693761304,"Lo","Lo"
73.1605187516727,31.2194191401834,"Lo","Lo"
73.1606174606698,31.2216689031676,"Lo","Lo"
73.1607161807374,31.223918665083,"Lo","Lo"
73.1608149118767,31.2261684259296,"Lo","Lo"
73.1609136540888,31.2284181857073,"Lo","Lo"
73.1613605860806,31.1788385056489,"Lo","Lo"
73.1614591575386,31.1810882803883,"Lo","Lo"
73.1615577400546,31.1833380540599,"Lo","Lo"
73.1616563336296,31.1855878266635,"Lo","Lo"
73.1617549382648,31.187837598199,"Lo","Lo"
73.1618535539613,31.1900873686665,"Lo","Lo"
73.16195218072,31.1923371380659,"Lo","Lo"
73.1620508185421,31.194586906397,"Lo","Lo"
73.1621494674287,31.1968366736599,"Lo","Lo"
73.1622481273809,31.1990864398544,"Lo","Lo"
73.1623467983997,31.2013362049804,"Lo","Lo"
73.1624454804862,31.203585969038,"Lo","Lo"
73.1625441736416,31.205835732027,"Lo","Lo"
73.1626428778668,31.2080854939474,"Lo","Lo"
73.162741593163,31.210335254799,"Lo","Lo"
73.1628403195313,31.2125850145819,"Lo","Lo"
73.1629390569728,31.2148347732959,"Lo","Lo"
73.1630378054885,31.217084530941,"Lo","Lo"
73.1631365650795,31.2193342875171,"Lo","Lo"
73.1632353357469,31.2215840430242,"Lo","Lo"
73.1633341174918,31.2238337974621,"Lo","Lo"
73.1634329103152,31.2260835508308,"Lo","Lo"
73.1635317142184,31.2283333031303,"Lo","Lo"
73.1639772795404,31.1787537345232,"Lo","Lo"
73.1640759125439,31.181003501787,"Lo","Lo"
73.1641745566122,31.1832532679826,"Lo","Lo"
73.1642732117465,31.1855030331098,"Lo","Lo"
73.1643718779478,31.1877527971688,"Lo","Lo"
73.1644705552172,31.1900025601593,"Lo","Lo"
73.1645692435557,31.1922523220813,"Lo","Lo"
73.1646679429646,31.1945020829348,"Lo","Lo"
73.1647666534448,31.1967518427196,"Lo","Lo"
73.1648653749974,31.1990016014357,"Lo","Lo"
73.1649641076235,31.201251359083,"Lo","Lo"
73.1650628513243,31.2035011156615,"Lo","Lo"
73.1651616061008,31.2057508711711,"Lo","Lo"
73.165260371954,31.2080006256117,"Lo","Lo"
73.1653591488851,31.2102503789833,"Lo","Lo"
73.1654579368951,31.2125001312857,"Lo","Lo"
73.1655567359852,31.2147498825189,"Lo","Lo"
73.1656555461564,31.2169996326829,"Lo","Lo"
73.1657543674098,31.2192493817775,"Lo","Lo"
73.1658531997465,31.2214991298028,"Lo","Lo"
73.1659520431675,31.2237488767585,"Lo","Lo"
73.1660508976741,31.2259986226447,"Lo","Lo"
73.1661497632671,31.2282483674613,"Lo","Lo"
73.1665939619365,31.1786689104088,"Lo","Lo"
73.1666926564843,31.1809186701923,"Lo","Lo"
73.1667431897041,31.2417468138952,"Lo","Lo"
73.1667913621039,31.1831684289073,"Lo","Lo"
73.1668421329334,31.2439965512225,"Lo","Lo"
73.1668900787963,31.1854181865536,"Lo","Lo"
73.1669888065626,31.1876679431312,"Lo","Lo"
73.1670875454039,31.1899176986401,"Lo","Lo"
73.1671862953212,31.1921674530801,"Lo","Lo"
73.1672850563157,31.1944172064512,"Lo","Lo"
73.1673838283884,31.1966669587534,"Lo","Lo"
73.1674826115404,31.1989167099864,"Lo","Lo"
73.1675814057728,31.2011664601504,"Lo","Lo"
73.1676802110867,31.2034162092452,"Lo","Lo"
73.1677790274832,31.2056659572707,"Lo","Lo"
73.1678778549633,31.2079157042269,"Lo","Lo"
73.1679766935282,31.2101654501137,"Lo","Lo"
73.1680755431789,31.212415194931,"Lo","Lo"
73.1681744039165,31.2146649386788,"Lo","Lo"
73.1682732757421,31.2169146813569,"Lo","Lo"
73.1683721586568,31.2191644229654,"Lo","Lo"
73.1684710526617,31.2214141635042,"Lo","Lo"
73.1685699577578,31.2236639029731,"Lo","Lo"
73.1686688739463,31.2259136413721,"Lo","Lo"
73.1692106332619,31.1785840333066,"Lo","Lo"
73.1692626040776,31.2394120492947,"Lo","Lo"
73.1693093893531,31.1808337856052,"Lo","Lo"
73.169361597943,31.2416617802025,"Lo","Lo"
73.1694081565228,31.1830835368349,"Lo","Lo"
73.1694606029094,31.2439115100399,"Lo","Lo"
73.1695069347723,31.1853332869956,"Lo","Lo"
73.169559618978,31.2461612388068,"Lo","Lo"
73.1696057241025,31.1875830360872,"Lo","Lo"
73.1697045245145,31.1898327841098,"Lo","Lo"
73.1698033360095,31.1920825310631,"Lo","Lo"
73.1699021585885,31.1943322769472,"Lo","Lo"
73.1700009922526,31.196582021762,"Lo","Lo"
73.170099837003,31.1988317655074,"Lo","Lo"
73.1701986928405,31.2010815081833,"Lo","Lo"
73.1702975597665,31.2033312497897,"Lo","Lo"
73.1703964377819,31.2055809903265,"Lo","Lo"
73.1704953268878,31.2078307297936,"Lo","Lo"
73.1705942270854,31.210080468191,"Lo","Lo"
73.1706931383757,31.2123302055185,"Lo","Lo"
73.1707920607598,31.2145799417762,"Lo","Lo"
73.1708909942387,31.2168296769639,"Lo","Lo"
73.1709899388136,31.2190794110815,"Lo","Lo"
73.1710888944856,31.2213291441291,"Lo","Lo"
73.1711878612558,31.2235788761066,"Lo","Lo"
73.1712868391252,31.2258286070137,"Lo","Lo"
73.1717818949987,31.2370772454936,"Lo","Lo"
73.1718272935098,31.1784991032173,"Lo","Lo"
73.1718809394863,31.2393269699779,"Lo","Lo"
73.1719261111432,31.1807488480263,"Lo","Lo"
73.1719799950808,31.2415766933915,"Lo","Lo"
73.1720249398621,31.1829985917661,"Lo","Lo"
73.1720790617833,31.2438264157343,"Lo","Lo"
73.1721237796674,31.1852483344365,"Lo","Lo"
73.1721781395947,31.2460761370062,"Lo","Lo"
73.1722226305605,31.1874980760375,"Lo","Lo"
73.1723214925422,31.1897478165691,"Lo","Lo"
73.1724203656138,31.1919975560311,"Lo","Lo"
73.1725192497763,31.1942472944236,"Lo","Lo"
73.1726181450307,31.1964970317463,"Lo","Lo"
73.1727170513782,31.1987467679994,"Lo","Lo"
73.1728159688199,31.2009965031826,"Lo","Lo"
73.1729148973568,31.2032462372959,"Lo","Lo"
73.1730138369901,31.2054959703393,"Lo","Lo"
73.1731127877208,31.2077457023127,"Lo","Lo"
73.1732117495499,31.2099954332159,"Lo","Lo"
73.1733107224787,31.212245163049,"Lo","Lo"
73.1734097065082,31.2144948918119,"Lo","Lo"
73.1735087016394,31.2167446195045,"Lo","Lo"
73.1736077078734,31.2189943461267,"Lo","Lo"
73.1737067252115,31.2212440716785,"Lo","Lo"
73.1738057536545,31.2234937961597,"Lo","Lo"
73.1739047932037,31.2257435195704,"Lo","Lo"
73.1744001575794,31.2369921205626,"Lo","Lo"
73.1744439426734,31.1784141201418,"Lo","Lo"
73.1744992637882,31.2392418375483,"Lo","Lo"
73.1745428218479,31.1806638574565,"Lo","Lo"
73.1745983811107,31.2414915534629,"Lo","Lo"
73.1746417121147,31.1829135937016,"Lo","Lo"
73.1746975095481,31.2437412683064,"Lo","Lo"
73.174740613475,31.1851633288771,"Lo","Lo"
73.1747966491014,31.2459909820787,"Lo","Lo"
73.1748395259298,31.1874130629829,"Lo","Lo"
73.1748957997716,31.2482406947796,"Lo","Lo"
73.1749384494801,31.1896627960188,"Lo","Lo"
73.1750373841272,31.1919125279849,"Lo","Lo"
73.175136329872,31.194162258881,"Lo","Lo"
73.1752352867157,31.1964119887071,"Lo","Lo"
73.1753342546594,31.1986617174631,"Lo","Lo"
73.1754332337041,31.200911445149,"Lo","Lo"
73.1754909373118,31.2617389484847,"Lo","Lo"
73.1755322238509,31.2031611717646,"Lo","Lo"
73.1755901658317,31.2639886536847,"Lo","Lo"
73.1756312251009,31.2054108973099,"Lo","Lo"
73.1756894054774,31.2662383578129,"Lo","Lo"
73.1757302374552,31.2076606217849,"Lo","Lo"
73.1758292609149,31.2099103451894,"Lo","Lo"
73.1759282954811,31.2121600675234,"Lo","Lo"
73.1760273411548,31.2144097887868,"Lo","Lo"
73.1761263979372,31.2166595089796,"Lo","Lo"
73.1762254658293,31.2189092281017,"Lo","Lo"
73.1763245448322,31.221158946153,"Lo","Lo"
73.1764236349471,31.2234086631334,"Lo","Lo"
73.176522736175,31.2256583790429,"Lo","Lo"
73.1770184090476,31.236906942524,"Lo","Lo"
73.1770605807457,31.1783290840807,"Lo","Lo"
73.1771175769764,31.2391566520064,"Lo","Lo"
73.1771595214602,31.1805788138966,"Lo","Lo"
73.1772167560258,31.2414063604175,"Lo","Lo"
73.177258473274,31.1828285426425,"Lo","Lo"
73.177315946197,31.243656067757,"Lo","Lo"
73.177357436188,31.1850782703183,"Lo","Lo"
73.1774151474909,31.245905774025,"Lo","Lo"
73.1774564102034,31.1873279969241,"Lo","Lo"
73.1775143599088,31.2481554792213,"Lo","Lo"
73.1775553953213,31.1895777224598,"Lo","Lo"
73.1776135834517,31.250405183346,"Lo","Lo"
73.1776543915428,31.1918274469252,"Lo","Lo"
73.1777533988689,31.1940771703203,"Lo","Lo"
73.1778524173008,31.1963268926451,"Lo","Lo"
73.1779514468395,31.1985766138994,"Lo","Lo"
73.1780504874861,31.2008263340833,"Lo","Lo"
73.1781098680793,31.2616536878912,"Lo","Lo"
73.1781495392417,31.2030760531965,"Lo","Lo"
73.1782091583951,31.2639033855842,"Lo","Lo"
73.1782486021074,31.2053257712391,"Lo","Lo"
73.1783084598435,31.2661530822049,"Lo","Lo"
73.1783476760842,31.207575488211,"Lo","Lo"
73.1784077724257,31.2684027777535,"Lo","Lo"
73.1784467611733,31.2098252041121,"Lo","Lo"
73.1785458573758,31.2120749189424,"Lo","Lo"
73.1786449646928,31.2143246327017,"Lo","Lo"
73.1787440831252,31.2165743453901,"Lo","Lo"
73.1788432126743,31.2188240570073,"Lo","Lo"
73.1789423533411,31.2210737675535,"Lo","Lo"
73.1790415051267,31.2233234770284,"Lo","Lo"
73.1791406680322,31.225573185432,"Lo","Lo"
73.1792398420586,31.2278228927644,"Lo","Lo"
73.1796366493962,31.2368217113787,"Lo","Lo"
73.1796772077198,31.178243995035,"Lo","Lo"
73.1797358790439,31.2390714133532,"Lo","Lo"
73.1797762099733,31.1804937173473,"Lo","Lo"
73.1798351198191,31.241321114256,"Lo","Lo"
73.1798752233329,31.1827434385893,"Lo","Lo"
73.179934371723,31.2435708140869,"Lo","Lo"
73.1799742477996,31.1849931587609,"Lo","Lo"
73.1800336347566,31.2458205128459,"Lo","Lo"
73.1800732833747,31.1872428778621,"Lo","Lo"
73.180132908921,31.248070210533,"Lo","Lo"
73.180172330059,31.1894925958928,"Lo","Lo"
73.1802321942173,31.250319907148,"Lo","Lo"
73.1802713878538,31.1917423128529,"Lo","Lo"
73.1803314906465,31.2525696026908,"Lo","Lo"
73.1803704567601,31.1939920287424,"Lo","Lo"
73.1804307982099,31.2548192971615,"Lo","Lo"
73.180469536779,31.1962417435611,"Lo","Lo"
73.1805301169084,31.2570689905599,"Lo","Lo"
73.1805686279117,31.1984914573091,"Lo","Lo"
73.1806294467431,31.259318682886,"Lo","Lo"
73.1806677301591,31.2007411699863,"Lo","Lo"
73.1807287877152,31.2615683741397,"Lo","Lo"
73.1807668435224,31.2029908815925,"Lo","Lo"
73.1808281398258,31.2638180643209,"Lo","Lo"
73.1808659680027,31.2052405921277,"Lo","Lo"
73.1809275030759,31.2660677534296,"Lo","Lo"
73.180965103601,31.2074903015919,"Lo","Lo"
73.1810268774666,31.2683174414657,"Lo","Lo"
73.1810642503185,31.2097400099849,"Lo","Lo"
73.1811262629991,31.2705671284291,"Lo","Lo"
73.1811634081562,31.2119897173068,"Lo","Lo"
73.1812625771152,31.2142394235573,"Lo","Lo"
73.1813617571967,31.2164891287366,"Lo","Lo"
73.1814609484016,31.2187388328444,"Lo","Lo"
73.1815601507312,31.2209885358807,"Lo","Lo"
73.1816593641864,31.2232382378455,"Lo","Lo"
73.1817585887684,31.2254879387386,"Lo","Lo"
73.1818578244783,31.2277376385601,"Lo","Lo"
73.1819570713171,31.2299873373098,"Lo","Lo"
73.182056329286,31.2322370349876,"Lo","Lo"
73.182155598386,31.2344867315936,"Lo","Lo"
73.1822548786183,31.2367364271276,"Lo","Lo"
73.182293823589,31.1781588530054,"Lo","Lo"
73.1823541699839,31.2389861215895,"Lo","Lo"
73.1823928873803,31.1804085678094,"Lo","Lo"
73.1824534724839,31.2412358149793,"Lo","Lo"
73.1825527861194,31.243485507297,"Lo","Lo"
73.182591048303,31.1849079942055,"Lo","Lo"
73.1826521108915,31.2457351985423,"Lo","Lo"
73.1826901454365,31.1871577057975,"Lo","Lo"
73.1827514468013,31.2479848887154,"Lo","Lo"
73.1827892536862,31.1894074163185,"Lo","Lo"
73.1828507938499,31.2502345778161,"Lo","Lo"
73.1828883730532,31.1916571257687,"Lo","Lo"
73.1829501520383,31.2524842658443,"Lo","Lo"
73.1829875035387,31.1939068341479,"Lo","Lo"
73.1830495213677,31.2547339527999,"Lo","Lo"
73.1830866451436,31.196156541456,"Lo","Lo"
73.1831489018392,31.256983638683,"Lo","Lo"
73.1831857978691,31.198406247693,"Lo","Lo"
73.1832482934538,31.2592333234933,"Lo","Lo"
73.1832849617162,31.2006559528588,"Lo","Lo"
73.1833476962127,31.261483007231,"Lo","Lo"
73.1833841366862,31.2029056569533,"Lo","Lo"
73.183447110117,31.2637326898958,"Lo","Lo"
73.1834833227799,31.2051553599765,"Lo","Lo"
73.1835465351676,31.2659823714877,"Lo","Lo"
73.1835825199986,31.2074050619283,"Lo","Lo"
73.1836459713658,31.2682320520067,"Lo","Lo"
73.1836817283433,31.2096547628086,"Lo","Lo"
73.1837454187127,31.2704817314526,"Lo","Lo"
73.1837809478152,31.2119044626173,"Lo","Lo"
73.1838448772092,31.2727314098254,"Lo","Lo"
73.1838801784153,31.2141541613545,"Lo","Lo"
73.1839443468566,31.2749810871251,"Lo","Lo"
73.1839794201446,31.2164038590199,"Lo","Lo"
73.1840786730043,31.2186535556136,"Lo","Lo"
73.1841779369956,31.2209032511355,"Lo","Lo"
73.1842772121193,31.2231529455854,"Lo","Lo"
73.1843764983768,31.2254026389634,"Lo","Lo"
73.184475795769,31.2276523312693,"Lo","Lo"
73.184575104297,31.2299020225032,"Lo","Lo"
73.184674423962,31.2321517126648,"Lo","Lo"
73.184773754765,31.2344014017542,"Lo","Lo"
73.1848730967071,31.2366510897713,"Lo","Lo"
73.1849724497895,31.238900776716,"Lo","Lo"
73.1850718140131,31.2411504625882,"Lo","Lo"
73.1851711893791,31.2434001473879,"Lo","Lo"
73.1852705758887,31.245649831115,"Lo","Lo"
73.1853069963821,31.1870724807311,"Lo","Lo"
73.1853699735428,31.2478995137694,"Lo","Lo"
73.1854061661961,31.1893221837379,"Lo","Lo"
73.1854693823426,31.2501491953511,"Lo","Lo"
73.1855053471343,31.1915718856735,"Lo","Lo"
73.1855688022891,31.2523988758599,"Lo","Lo"
73.1856045391977,31.1938215865377,"Lo","Lo"
73.1856682333835,31.2546485552959,"Lo","Lo"
73.1857037423875,31.1960712863305,"Lo","Lo"
73.1857676756269,31.2568982336589,"Lo","Lo"
73.1858029567048,31.1983209850518,"Lo","Lo"
73.1858671290203,31.2591479109489,"Lo","Lo"
73.1859021821506,31.2005706827016,"Lo","Lo"
73.1859665935649,31.2613975871658,"Lo","Lo"
73.1860014187261,31.2028203792798,"Lo","Lo"
73.1860660692617,31.2636472623095,"Lo","Lo"
73.1861006664322,31.2050700747862,"Lo","Lo"
73.1861655561118,31.26589693638,"Lo","Lo"
73.1861999252702,31.207319769221,"Lo","Lo"
73.1862650541164,31.2681466093772,"Lo","Lo"
73.1862991952411,31.2095694625839,"Lo","Lo"
73.1863645632765,31.270396281301,"Lo","Lo"
73.186398476346,31.2118191548749,"Lo","Lo"
73.1864640835932,31.2726459521514,"Lo","Lo"
73.186497768586,31.2140688460939,"Lo","Lo"
73.1865636150677,31.2748956219282,"Lo","Lo"
73.1865970719621,31.2163185362409,"Lo","Lo"
73.1866631577009,31.2771452906315,"Lo","Lo"
73.1866963864756,31.2185682253158,"Lo","Lo"
73.1867957121273,31.2208179133186,"Lo","Lo"
73.1868950489186,31.223067600249,"Lo","Lo"
73.1869943968504,31.2253172861072,"Lo","Lo"
73.1870937559238,31.2275669708929,"Lo","Lo"
73.18719312614,31.2298166546063,"Lo","Lo"
73.1872925074999,31.232066337247,"Lo","Lo"
73.1873919000048,31.2343160188152,"Lo","Lo"
73.1874913036557,31.2365656993107,"Lo","Lo"
